,content,date,event,geo,language,sentiment,source,targets,uri
0,@Apple I'm a Samsung fan and even I can see how revolutionary this is! I bet people keep comparing it to the s8 whi… https://t.co/ywih4QV2cE,2017-09-13 09:49:54,Other,"North West, England",en,0.0,twitter,[],https://twitter.com/undefined/status/907904159663443969
1,@Apple New Animoji feature could be very useful for @HariMirchein https://t.co/fXKd526gmi,2017-09-13 09:49:53,Release,"Islamabad, Pakistan",en,0.0,twitter,[],https://twitter.com/undefined/status/907904156010237952
2,Android Developers #Blog: Optimize your #AndroidApps for Chromebooks ~ @google 👨‍💻 https://t.co/k5WmNjrhCo https://t.co/HGIHkbFUoV,2017-09-13 07:00:33,Other,"Prague, Czech Republic",en,0.0,twitter,[],https://twitter.com/undefined/status/907861540044513280
3,RT @ShujaRabbani: #Tabla - a North Indian percussion used on several tracks in #LipService. Download/stream it on @amazon here… ,2017-09-13 07:00:32,Other," Levant, ME",en,0.0,twitter,[],https://twitter.com/undefined/status/907861538098348032
4,"Is there any indication #iPhoneX is designed for #circulareconomy with #repair #upgrade or #remanufacturing features?
#circulardesign @Apple",2017-09-13 07:00:32,Other,"Amsterdam, Nederland",en,0.0,twitter,[],https://twitter.com/undefined/status/907861536206675969
5,Free webinar with @IBM speaker Andrew Rickard: The Future of Emissions Management  (21 Sept.)… https://t.co/rGYHFTJZ6P,2017-09-13 07:00:28,Other,UK,en,0.0,twitter,[],https://twitter.com/undefined/status/907861522122190848
6,"@Apple I’m a fan of #iPhoneX, but still want #TouchID. Why not make ANYWHERE you touch the fingerprint reader with… https://t.co/B0jTJm60Q4",2017-09-13 07:00:25,Other,"Dallas, TX",en,0.0,twitter,"[{'sentiment': 0, 'label': 'fan'}]",https://twitter.com/undefined/status/907861508389875712
7,RT @ShujaRabbani: #Tabla - a North Indian percussion used on several tracks in #LipService. Download/stream it on @amazon here… ,2017-09-13 07:00:25,Other,,en,0.0,twitter,[],https://twitter.com/undefined/status/907861508524097537
8,"A challenging environment saw us provide #change and #training to a team of 1,200 as part of an #SAP implementation https://t.co/BdAeTv5MOk",2017-09-13 07:00:24,Other,UK & New Zealand.,en,0.0,twitter,"[{'sentiment': 0, 'label': 'team'}]",https://twitter.com/undefined/status/907861503612780544
9,RT @ShujaRabbani: #Tabla - a North Indian percussion used on several tracks in #LipService. Download/stream it on @amazon here… ,2017-09-13 07:00:24,Other,London Town,en,0.0,twitter,[],https://twitter.com/undefined/status/907861503012982784
10,RT @mediamath: #MustSee keynote on #AI &amp; #marketing from MediaMath CEO Joe Zawadzki &amp; @rwlord from @IBM - 10am today at #dmexco:… ,2017-09-13 07:00:23,Other,Berlin,en,0.218,twitter,"[{'sentiment': 0.218, 'label': 'joe'}]",https://twitter.com/undefined/status/907861499313577984
11,@didenko_andrew @rowan_blakey @Apple APPLE HAS COPIED SAMSUNG AGAIN!  LMAO YOU FOLLOW THE LEADERS APPLE! UOTE STILL… https://t.co/d6w91Mevnx,2017-09-13 07:00:23,Other,"Chicago, IL",en,0.0,twitter,[],https://twitter.com/undefined/status/907861498319577089
